frame,timestamp,seconds,source,file,decision,severity,typography,imagery,motion,composition,narrative,overall,failed_gates,observed_evidence
23,00:00:54.854,54.854,cue,frame-00-00-54-854.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue.
24,00:00:55.000,55.000,interval,frame-00-00-55-000.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue.
25,00:01:00.000,60.000,interval,frame-00-01-00-000.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue.
26,00:01:01.437,61.437,cue,frame-00-01-01-437.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue.
27,00:01:05.000,65.000,interval,frame-00-01-05-000.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue.
28,00:01:06.791,66.791,cue,frame-00-01-06-791.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue.
29,00:01:09.406,69.406,cue,frame-00-01-09-406.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue.
30,00:01:10.000,70.000,interval,frame-00-01-10-000.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue.
31,00:01:15.000,75.000,interval,frame-00-01-15-000.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue.
32,00:01:15.354,75.354,cue,frame-00-01-15-354.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue.
33,00:01:20.000,80.000,interval,frame-00-01-20-000.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue.
34,00:01:24.656,84.656,cue,frame-00-01-24-656.jpg,REJECT,P0,2,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Map annotations are unreadably small at 1080p; the low-resolution static card is upscaled and has no causal reveal. Scene timing does not match the active narration cue.
35,00:01:25.000,85.000,interval,frame-00-01-25-000.jpg,REJECT,P0,2,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Map annotations are unreadably small at 1080p; the low-resolution static card is upscaled and has no causal reveal. Scene timing does not match the active narration cue.
36,00:01:27.874,87.874,cue,frame-00-01-27-874.jpg,REJECT,P0,2,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Map annotations are unreadably small at 1080p; the low-resolution static card is upscaled and has no causal reveal. Scene timing does not match the active narration cue.
37,00:01:30.000,90.000,interval,frame-00-01-30-000.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02 · N04,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue. Final card is a 36-second static hold with no explicit article/proof-pack CTA or canonical outro.
38,00:01:35.000,95.000,interval,frame-00-01-35-000.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02 · N04,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue. Final card is a 36-second static hold with no explicit article/proof-pack CTA or canonical outro.
39,00:01:37.374,97.374,cue,frame-00-01-37-374.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02 · N04,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue. Final card is a 36-second static hold with no explicit article/proof-pack CTA or canonical outro.
40,00:01:38.708,98.708,cue,frame-00-01-38-708.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02 · N04,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue. Final card is a 36-second static hold with no explicit article/proof-pack CTA or canonical outro.
41,00:01:40.000,100.000,interval,frame-00-01-40-000.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02 · N04,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue. Final card is a 36-second static hold with no explicit article/proof-pack CTA or canonical outro.
42,00:01:45.000,105.000,interval,frame-00-01-45-000.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02 · N04,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue. Final card is a 36-second static hold with no explicit article/proof-pack CTA or canonical outro.
43,00:01:45.312,105.312,cue,frame-00-01-45-312.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02 · N04,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue. Final card is a 36-second static hold with no explicit article/proof-pack CTA or canonical outro.
44,00:01:47.583,107.583,cue,frame-00-01-47-583.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02 · N04,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue. Final card is a 36-second static hold with no explicit article/proof-pack CTA or canonical outro.
45,00:01:50.000,110.000,interval,frame-00-01-50-000.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02 · N04,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue. Final card is a 36-second static hold with no explicit article/proof-pack CTA or canonical outro.
46,00:01:52.781,112.781,cue,frame-00-01-52-781.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02 · N04,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue. Final card is a 36-second static hold with no explicit article/proof-pack CTA or canonical outro.
47,00:01:55.000,115.000,interval,frame-00-01-55-000.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02 · N04,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue. Final card is a 36-second static hold with no explicit article/proof-pack CTA or canonical outro.
48,00:01:55.937,115.937,cue,frame-00-01-55-937.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02 · N04,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue. Final card is a 36-second static hold with no explicit article/proof-pack CTA or canonical outro.
49,00:02:00.000,120.000,interval,frame-00-02-00-000.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02 · N04,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue. Final card is a 36-second static hold with no explicit article/proof-pack CTA or canonical outro.
